DATAFLOW,LAST UPDATE,freq,airpol,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2010-Q1,117442.351,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2010-Q2,120182.728,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2010-Q3,121224.023,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2010-Q4,121021.692,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2011-Q1,116520.311,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2011-Q2,119335.072,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2011-Q3,120901.549,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2011-Q4,120917.564,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2012-Q1,115923.134,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2012-Q2,118433.302,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2012-Q3,120174.928,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2012-Q4,119809.618,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2013-Q1,116278.964,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2013-Q2,119202.282,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2013-Q3,120822.306,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2013-Q4,120545.262,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2014-Q1,117316.293,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2014-Q2,120185.62,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2014-Q3,122508.346,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2014-Q4,121865.644,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2015-Q1,117919.595,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2015-Q2,120426.093,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2015-Q3,122989.742,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2015-Q4,122225.962,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2016-Q1,118606.222,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2016-Q2,121125.907,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2016-Q3,123627.285,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2016-Q4,122468.573,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2017-Q1,119605.604,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2017-Q2,122372.97,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2017-Q3,124909.343,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2017-Q4,124136.047,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2018-Q1,120003.335,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2018-Q2,122633.051,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2018-Q3,124654.164,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2018-Q4,122557.162,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2019-Q1,118675.479,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2019-Q2,119241.798,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2019-Q3,122312.982,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2019-Q4,119981.751,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2020-Q1,117118.91,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2020-Q2,119733.788,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2020-Q3,122427.359,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2020-Q4,121962.191,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2021-Q1,118561.864,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2021-Q2,120765.04,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2021-Q3,123995.027,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2021-Q4,120889.736,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2022-Q1,117306.113,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2022-Q2,118309.214,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2022-Q3,121138.158,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2022-Q4,118179.341,s
ESTAT:ENV_AC_AIGG_Q(1.0),15/11/23 11:00:00,Q,GHG,A,THS_T,EU27_2020,2023-Q1,115752.207,s
